wkt_geom	id	Nom	X	Y
MultiPolygon (((-6.89099695992859118 33.94381909432809152, -6.88350456227345386 33.94419096608374531, -6.88049479569403832 33.93999403340973942, -6.89035658406062979 33.93027123006965695, -6.89791301930256395 33.93696573829760155, -6.89099695992859118 33.94381909432809152)))	1	Guich oudaya	0	0
MultiPolygon (((-6.89483921513635423 33.94493470472133367, -6.89125311027577503 33.94376596965894777, -6.89938588379887285 33.93574376415671878, -6.90495715385012776 33.93871897491164447, -6.90169123692352926 33.94121594655157992, -6.89483921513635423 33.94493470472133367)))	2	Oulad mtaa	0	0
MultiPolygon (((-6.89951395897246389 33.93558437493243218, -6.90764673249556171 33.92814587930933357, -6.91289781461283859 33.93197147249174606, -6.90546945454449546 33.93909086894614546, -6.89951395897246389 33.93558437493243218)))	3	Massira 3	0	0
MultiPolygon (((-6.8942628768551879 33.92602047551415012, -6.90470100350294302 33.93080255947285195, -6.89791301930256395 33.93691260935177922, -6.89003639612664909 33.93064316099993505, -6.8942628768551879 33.92602047551415012)))	4	Massira1	0	0
MultiPolygon (((-6.90470100350294835 33.93082912585600752, -6.89458306478916771 33.92610017911356834, -6.89996222208003918 33.92115841492604034, -6.90143508657634897 33.9222743222191454, -6.90431677798217169 33.92546254823006535, -6.90783884525595493 33.9281193120892226, -6.90470100350294835 33.93082912585600752)))	5	Firdaouss	0	0
MultiPolygon (((-6.91283377702604973 33.9316792457411367, -6.90514926661052186 33.92588763601607837, -6.909952085620227 33.92078644258027964, -6.91725237051497821 33.92583450015882107, -6.91866119742449381 33.92753483115009061, -6.91283377702604973 33.9316792457411367)))	6	Nahda1	0	0
MultiPolygon (((-6.90508522902372501 33.92578136426844537, -6.90009029725363021 33.92089272055907401, -6.90399659004819188 33.91754490054309912, -6.910144198380614 33.92073330354116933, -6.90508522902372501 33.92578136426844537)))	7	Nahda2	0	0
MultiPolygon (((-6.92554523800507393 33.94227846546266392, -6.90710241300780581 33.93813456671828988, -6.91862917863109939 33.92761453333251609, -6.93617547741322493 33.93314036946672019, -6.92554523800507393 33.94227846546266392)))	8	Andalousse	0	0
MultiPolygon (((-6.94104233400972692 33.93000556412503954, -6.94821454373088798 33.93436238096769131, -6.93156477116390679 33.94854705709597198, -6.93041209460157948 33.93840020730348073, -6.94104233400972692 33.93000556412503954)))	9	Harhoura	0	0
MultiPolygon (((-6.89022850888704497 33.92981959747069709, -6.8843370509018067 33.9256750923882322, -6.88625817850568733 33.91026426647421488, -6.90149912416315292 33.91929853695704367, -6.89022850888704497 33.92981959747069709)))	10	Temara secteur3	0	0
MultiPolygon (((-6.93675181569439658 33.93242309367943221, -6.91933359208586385 33.92721602167461015, -6.94289942402681959 33.90840415072217695, -6.94635745371380864 33.92519686728657291, -6.93675181569439658 33.93242309367943221)))	11	Wifaq2	0	0
MultiPolygon (((-6.9192055169122737 33.92679094051780453, -6.90025039122063522 33.91425009210286134, -6.90947180371926883 33.89660475696938846, -6.9412344467701228 33.8874617616760716, -6.94200289781167612 33.90893561650783283, -6.9192055169122737 33.92679094051780453)))	12	Ouad Daheb	0	0
MultiPolygon (((-6.94097829642293718 33.885547987464399, -6.90101884226218498 33.89235232293670208, -6.9035803457340279 33.83620032702665981, -6.95224891169904691 33.80981316155783389, -6.94097829642293718 33.885547987464399)))	13	Tamesna	0	0
MultiPolygon (((-6.82468603880126246 33.8289659467340087, -6.76064845200518683 33.80938749539546961, -6.79958330477720185 33.76340308722689088, -6.84825187074221819 33.77192058128489549, -6.82468603880126246 33.8289659467340087)))	14	Ain Atik	0	0
MultiPolygon (((-6.85606445633134332 33.85662350731469417, -6.84825187074221908 33.86087772201134527, -6.84581844244396986 33.85545356111977355, -6.84837994591581189 33.85204999015550698, -6.8540152535538672 33.85045451957932272, -6.85606445633134332 33.85662350731469417)))	15	Menzeh	0	0
